date,location,new_cases,new_deaths,total_cases,total_deaths,mortality,OlderPopulation,healthspend,percapitagdp,gini
30/7/2020,South Sudan,0,0,2322,46,2,3.415764782,175.7673035,0,0
30/7/2020,Slovakia,41,0,2245,28,1.2,0,0,0,0
30/7/2020,Slovenia,14,0,2115,117,5.5,19.02331638,2960.593262,38749.25198,24.5
30/7/2020,Lithuania,16,0,2043,80,3.9,19.30095234,2132.609131,35831.86282,37.85
30/7/2020,Estonia,4,0,2042,69,3.4,19.31316745,2153.3396,36358.02776,30.8
30/7/2020,Namibia,69,1,1986,9,0.5,3.668891587,895.3595581,10704.6652,0
30/7/2020,Guinea-Bissau,0,0,1954,26,1.3,2.771552585,123.2869263,1996.658573,0
30/7/2020,Rwanda,10,0,1936,5,0.3,2.849763053,134.3714905,2114.085267,43.7
30/7/2020,Iceland,4,0,1861,10,0.5,14.42554121,4721.42627,58058.217,0
30/7/2020,Sierra Leone,17,1,1803,67,3.7,2.981842773,205.3612976,1703.809374,35.7
30/7/2020,Benin,0,0,1770,35,2,3.243951472,84.65098572,3237.772061,0
30/7/2020,Mozambique,28,0,1748,11,0.6,2.898333199,61.77705765,1320.955632,0
30/7/2020,Yemen,16,1,1711,485,28.3,0,0,0,0
30/7/2020,Suriname,97,2,1607,26,1.6,6.804955688,946.3764038,16151.17351,0
30/7/2020,Tunisia,20,0,1488,50,3.4,8.052333842,863.2907715,11009.50856,0
30/7/2020,Uruguay,19,0,1237,35,2.8,14.70022618,2101.911377,22116.77552,39.7
30/7/2020,Latvia,4,0,1224,31,2.5,19.83330403,1682.344238,30744.78106,34.95
30/7/2020,New Zealand,1,0,1210,22,1.8,15.32945104,3767.513428,42193.81803,0
30/7/2020,Jordan,5,0,1187,11,0.9,3.810259372,756.6592407,10093.96401,0
30/7/2020,Liberia,2,0,1179,72,6.1,3.222707713,104.6710434,1533.470766,35.3
30/7/2020,Georgia,0,1,1155,17,1.5,14.67352639,773.2670288,14594.67369,36.6
30/7/2020,Uganda,5,0,1140,2,0.2,1.920304884,121.1517868,1837.227841,42.8
30/7/2020,Niger,2,0,1134,69,6.1,2.590760593,78.85164642,888.7787559,0
30/7/2020,Burkina Faso,11,0,1117,53,4.7,2.408630041,129.06427,1904.941234,0
30/7/2020,Cyprus,13,0,1080,19,1.8,13.41535572,2430.176025,38513.28457,32.15
30/7/2020,Angola,50,6,1000,47,4.7,2.239196565,185.8540344,7092.990319,51.3
30/7/2020,Chad,0,0,926,75,8.1,2.466718338,87.29854584,1618.93294,0
30/7/2020,Andorra,11,0,918,52,5.7,0,5237.241699,0,0
30/7/2020,Togo,0,0,896,18,2,2.850227201,103.7303238,1590.366967,0
30/7/2020,Sao Tome and Principe,1,1,868,15,1.7,2.907445591,209.2372894,4040.860481,56.3
30/7/2020,Jamaica,1,0,856,10,1.2,8.693331526,542.8858032,9975.194079,0
30/7/2020,Botswana,65,0,804,2,0.2,4.086835852,1044.297241,18059.33766,0
30/7/2020,Malta,78,0,786,9,1.1,19.8872887,3943.095947,43538.50993,29.15
30/7/2020,Western Sahara,0,0,766,1,0.1,0,0,0,0
30/7/2020,Syria,23,0,717,40,5.6,0,0,0,0
30/7/2020,San Marino,0,0,716,42,5.9,0,4369.724121,0,0
30/7/2020,Lesotho,71,1,576,13,2.3,4.872643715,265.5403748,3068.172915,44.9
30/7/2020,Tanzania,0,0,509,21,4.1,2.583661254,104.3139801,3240.262937,40.5
30/7/2020,Bahamas,37,0,484,11,2.3,0,0,0,0
30/7/2020,Taiwan,0,0,467,7,1.5,0,0,0,0
30/7/2020,Vietnam,26,0,459,0,0,7.031027948,375.6432495,7771.185529,35.5
30/7/2020,Guyana,2,0,398,20,5,6.207125185,405.0777588,9538.985942,0
30/7/2020,Burundi,9,0,387,1,0.3,2.186760733,59.18866348,780.0745466,0
30/7/2020,United States Virgin Islands,0,0,385,8,2.1,0,0,0,0
30/7/2020,Comoros,38,0,378,7,1.9,2.962923828,123.1794052,3141.544502,0
30/7/2020,Guam,3,0,354,5,1.4,0,0,0,0
30/7/2020,Myanmar,2,0,353,6,1.7,0,0,4995.988977,30.7
30/7/2020,Mauritius,0,0,344,10,2.9,10.95168917,1278.011475,22752.21793,36.8
30/7/2020,Isle of Man,0,0,336,24,7.1,0,0,0,0
30/7/2020,Jersey,0,0,335,31,9.3,0,0,0,0
30/7/2020,Gambia,0,0,326,8,2.5,0,0,0,0
30/7/2020,Mongolia,0,0,291,0,0,3.993819742,518.1306152,12203.47185,32.5
30/7/2020,Eritrea,0,0,265,0,0,0,59.27363968,0,0
30/7/2020,Guernsey,0,0,252,13,5.2,0,0,0,0
30/7/2020,Cambodia,8,0,234,0,0,4.410837402,238.182663,4261.798393,0
30/7/2020,Faeroe Islands,0,0,220,0,0,0,0,0,0
30/7/2020,Cayman Islands,0,0,203,1,0.5,0,0,0,0
30/7/2020,Gibraltar,0,0,186,0,0,0,0,0,0
30/7/2020,Bermuda,0,0,156,9,5.8,0,0,0,0
30/7/2020,Trinidad and Tobago,2,0,156,8,5.1,10.36458706,2205.806641,26912.90347,0
30/7/2020,Brunei,0,0,141,3,2.1,0,0,0,0
30/7/2020,Sint Maarten (Dutch part),0,0,121,15,12.4,0,0,0,0
30/7/2020,Monaco,2,0,120,5,4.2,0,2991.061523,0,0
30/7/2020,Aruba,0,0,119,3,2.5,0,0,0,0
30/7/2020,Seychelles,0,0,114,0,0,7.429110747,1485.473755,28243.3276,0
30/7/2020,Barbados,0,0,110,7,6.4,15.4109254,1343.231689,16107.03324,0
30/7/2020,Bhutan,2,0,101,0,0,5.924918484,290.4237061,11621.81435,37.4
30/7/2020,Turks and Caicos Islands,0,0,99,2,2,0,0,27075.3298,0
30/7/2020,Antigua and Barbuda,5,0,91,3,3.3,8.575231069,1070.769165,21630.16868,0
30/7/2020,Liechtenstein,1,0,88,1,1.1,0,0,0,0
30/7/2020,Papua New Guinea,0,1,63,2,3.2,3.379222369,103.8995895,4336.244657,0
30/7/2020,French Polynesia,0,0,62,0,0,0,0,0,0
30/7/2020,Saint Vincent and the Grenadines,0,0,52,0,0,0,0,0,0
30/7/2020,Belize,0,0,48,2,4.2,4.615867727,481.0281982,7360.026504,0
30/7/2020,Northern Mariana Islands,2,0,42,2,4.8,0,0,0,0
30/7/2020,Curacao,0,0,29,1,3.4,0,0,25590.69756,0
30/7/2020,Fiji,0,0,27,0,0,5.292099118,322.7597351,14144.42316,0
30/7/2020,Grenada,1,0,24,0,0,9.603694284,721.0805054,17234.73898,0
30/7/2020,Saint Lucia,0,0,24,0,0,0,0,0,0
30/7/2020,Timor,0,0,24,0,0,0,0,0,0
30/7/2020,New Caledonia,0,0,22,0,0,0,0,0,0
30/7/2020,Laos,0,0,20,0,0,0,0,0,0
30/7/2020,Dominica,0,0,18,0,0,0,656.6713867,11814.34884,0
30/7/2020,Saint Kitts and Nevis,0,0,17,0,0,0,0,0,0
30/7/2020,Greenland,0,0,14,0,0,0,0,0,0
30/7/2020,Falkland Islands,0,0,13,0,0,0,0,0,0
30/7/2020,Montserrat,0,0,13,1,7.7,0,0,0,0
30/7/2020,Vatican,0,0,12,0,0,0,0,0,0
30/7/2020,Bonaire Sint Eustatius and Saba,0,0,11,0,0,0,0,0,0
30/7/2020,British Virgin Islands,0,0,8,1,12.5,0,0,0,0
30/7/2020,Anguilla,0,0,3,0,0,0,0,0,0
